sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"cad technician, gis cad technician, gentry systems",Geographic Information Systems Technologists and Technicians (15-1299.02); Surveying and Mapping Technicians (17-3031.00),Architectural and Civil Drafters (17-3011.00); Geographic Information Systems Technologists and Technicians (15-1299.02),"Geographic Information Systems Technologists and Technicians (15-1299.02); Drafters, All Other (17-3019.00)",Geographic Information Systems Technologists and Technicians (15-1299.02)
"cad, ursuline college","Architectural and Civil Drafters (17-3011.00); Mechanical Drafters (17-3013.00); Drafters, All Other (17-3019.00)",Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00),Architectural and Civil Drafters (17-3011.00)
"cadet captain, u.s army reserve officer training corps","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"cadet, cadet wing commander, united states air force","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"cadet, cwu army rotc","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)",None (00-0000.00),"Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"cadet, michigan state university police department",Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00)
"cadet, u.s. army reserve","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)"
"cafeteria worker -cook, cook, edmond public schools","Cooks, Institution and Cafeteria (35-2012.00)","Cooks, Institution and Cafeteria (35-2012.00)","Cooks, Institution and Cafeteria (35-2012.00)","Cooks, Institution and Cafeteria (35-2012.00)"
"cage operations supervisor, vernon downs casino & hotel",First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00)
"cage supervisor, valley forge casino, valley forge casino resort",First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00),First-Line Supervisors of Gambling Services Workers (39-1013.00)
"cake decorator, boyer's food markets",Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00)
"cake decorator, costco wholesale",Bakers (51-3011.00),"Bakers (51-3011.00); Painting, Coating, and Decorating Workers (51-9123.00)",Bakers (51-3011.00),Bakers (51-3011.00)
"cake decorator, lake region iga",Bakers (51-3011.00),"Bakers (51-3011.00); Painting, Coating, and Decorating Workers (51-9123.00)",Bakers (51-3011.00),Bakers (51-3011.00)
"cake decorator, publix super markets",Bakers (51-3011.00),"Painting, Coating, and Decorating Workers (51-9123.00); Bakers (51-3011.00)",Bakers (51-3011.00),Bakers (51-3011.00)
"cake decorator, safeway",Bakers (51-3011.00),"Painting, Coating, and Decorating Workers (51-9123.00); Bakers (51-3011.00)","Painting, Coating, and Decorating Workers (51-9123.00); Bakers (51-3011.00)","Bakers (51-3011.00);Painting, Coating, and Decorating Workers (51-9123.00)"
"cake decorator, teacher, sweet and saucy shop","Bakers (51-3011.00); Career/Technical Education Teachers, Postsecondary (25-1194.00)","Bakers (51-3011.00); Career/Technical Education Teachers, Postsecondary (25-1194.00)","Bakers (51-3011.00); Career/Technical Education Teachers, Postsecondary (25-1194.00)","Bakers (51-3011.00);Career/Technical Education Teachers, Postsecondary (25-1194.00)"
"cake decorator, walmart",Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00)
"cake decorator, woodloch","Bakers (51-3011.00); Painting, Coating, and Decorating Workers (51-9123.00)","Bakers (51-3011.00); Painting, Coating, and Decorating Workers (51-9123.00)","Painting, Coating, and Decorating Workers (51-9123.00); Bakers (51-3011.00)","Bakers (51-3011.00);Painting, Coating, and Decorating Workers (51-9123.00)"
"cake maker, dairy queen",Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00)
"cake technician, beaverton bakery",Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00),Bakers (51-3011.00)
"call bell response volunteer, centra state medical center","Healthcare Support Workers, All Other (31-9099.00)","Patient Representatives (29-2099.08); Healthcare Support Workers, All Other (31-9099.00)","Healthcare Support Workers, All Other (31-9099.00)","Healthcare Support Workers, All Other (31-9099.00)"
"camera operator - television services, jacksonville state university","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera operator, bdg","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera operator, eventrix productions","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera operator, i.a.t.s.e. local 16","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera operator, kktv 11 news","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera operator, pagan living tv","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera pa, ""foxcatcher"" feature film","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"camera pa, virtua health television commercial","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"cameriera, london bar",Waiters and Waitresses (35-3031.00),Waiters and Waitresses (35-3031.00),Waiters and Waitresses (35-3031.00),Waiters and Waitresses (35-3031.00)
"camp co-chair, university of houston - cub camp","Meeting, Convention, and Event Planners (13-1121.00); Recreation Workers (39-9032.00)","Recreation Workers (39-9032.00); First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014.00)","Recreation Workers (39-9032.00); First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014.00)","Recreation Workers (39-9032.00);First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014.00)"
"camp cordinator, sports crusaders",Recreation Workers (39-9032.00),"Recreation Workers (39-9032.00); First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014.00)",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00)
"camp counselor, camp eastwoods",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00); Childcare Workers (39-9011.00),Recreation Workers (39-9032.00),Recreation Workers (39-9032.00)
"camp counselor, claude peppers intergenerational summer day camp",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00),Recreation Workers (39-9032.00),Recreation Workers (39-9032.00)
"camp instructor, university of south carolina","Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00); Teachers and Instructors, All Other (25-3099.00)","Teachers and Instructors, All Other (25-3099.00)","Recreation Workers (39-9032.00); Teachers and Instructors, All Other (25-3099.00)","Teachers and Instructors, All Other (25-3099.00)"
"camp kiwanee head lifeguard, town of hanson","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00); First-Line Supervisors of Personal Service Workers (39-1022.00)","First-Line Supervisors of Personal Service Workers (39-1022.00); Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00)","First-Line Supervisors of Personal Service Workers (39-1022.00); Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00)","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00);First-Line Supervisors of Personal Service Workers (39-1022.00)"
"camp operator, hammonasset beach state park","Lodging Managers (11-9081.00); Entertainment and Recreation Managers, Except Gambling (11-9072.00)","Recreation Workers (39-9032.00); Entertainment and Recreation Managers, Except Gambling (11-9072.00)","Entertainment and Recreation Managers, Except Gambling (11-9072.00); Recreation Workers (39-9032.00)","Entertainment and Recreation Managers, Except Gambling (11-9072.00);Recreation Workers (39-9032.00)"
"campus ambassador to the university of pennsylvania, genentech",Public Relations Specialists (27-3031.00); Demonstrators and Product Promoters (41-9011.00),Public Relations Specialists (27-3031.00); Demonstrators and Product Promoters (41-9011.00),Public Relations Specialists (27-3031.00); Demonstrators and Product Promoters (41-9011.00),Public Relations Specialists (27-3031.00);Demonstrators and Product Promoters (41-9011.00)
"campus crew, love your melon",Demonstrators and Product Promoters (41-9011.00); Retail Salespersons (41-2031.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"campus missionary, chi alpha campus ministries, u.s.a.","Community and Social Service Specialists, All Other (21-1099.00); Religious Workers, All Other (21-2099.00)","Community and Social Service Specialists, All Other (21-1099.00); Religious Workers, All Other (21-2099.00)","Religious Workers, All Other (21-2099.00)","Community and Social Service Specialists, All Other (21-1099.00);Religious Workers, All Other (21-2099.00)"
"campus organizer, new york civil liberties union","Community and Social Service Specialists, All Other (21-1099.00)","Social and Community Service Managers (11-9151.00); Community and Social Service Specialists, All Other (21-1099.00)","Social and Community Service Managers (11-9151.00); Community and Social Service Specialists, All Other (21-1099.00)","Community and Social Service Specialists, All Other (21-1099.00);Social and Community Service Managers (11-9151.00)"
"campus tour guide, seattle pacific university",Tour Guides and Escorts (39-7011.00),Tour Guides and Escorts (39-7011.00),Tour Guides and Escorts (39-7011.00),Tour Guides and Escorts (39-7011.00)
"cancer genetic counselor, cancer genetics and prevention program/women and infants hospital",Genetic Counselors (29-9092.00),Genetic Counselors (29-9092.00),Genetic Counselors (29-9092.00),Genetic Counselors (29-9092.00)
"cancer information specialist, american cancer society",Health Education Specialists (21-1091.00),Health Education Specialists (21-1091.00); Community Health Workers (21-1094.00),Health Education Specialists (21-1091.00); Community Health Workers (21-1094.00),Health Education Specialists (21-1091.00);Community Health Workers (21-1094.00)
